,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
2047,0.0,5.0,3.0,4.0,4.0,3.0,1757.0,1.0,0.0,0.0,0.0,0.0,1.9
2048,1.0,48.0,4.0,4.0,2.0,0.0,3240.0,1.0,1.0,0.0,2.0,1.0,8.5
2049,1.0,55.0,9.0,9.0,3.0,3.0,60.0,1.0,0.0,2.0,1.0,0.0,2.0
2050,0.0,67.0,4.0,4.0,4.0,3.0,2194.0,1.0,0.0,2.0,0.0,1.0,2.79
2051,1.0,28.0,5.0,5.0,4.0,3.0,3096.0,1.0,1.0,0.0,1.0,1.0,11.0
2052,0.0,90.0,3.0,3.0,4.0,3.0,1561.0,0.0,0.0,0.0,2.0,2.0,0.85
2053,0.0,80.0,2.0,2.0,2.0,4.0,823.0,0.0,0.0,0.0,1.0,2.0,0.55
2054,0.0,48.0,3.0,4.0,4.0,0.0,2574.0,0.0,0.0,0.0,1.0,2.0,2.75
2055,1.0,31.0,2.0,8.0,4.0,0.0,900.0,0.0,0.0,1.0,1.0,2.0,2.1
2056,1.0,26.0,3.0,3.0,2.0,0.0,2000.0,0.0,1.0,0.0,1.0,1.0,2.4
2057,0.0,103.0,2.0,2.0,4.0,0.0,1100.0,0.0,0.0,1.0,0.0,2.0,0.9
2058,0.0,38.0,3.0,3.0,3.0,4.0,2283.0,0.0,0.0,0.0,1.0,2.0,1.25
2059,1.0,67.0,4.0,4.0,4.0,3.0,3600.0,1.0,0.0,0.0,2.0,1.0,12.5
2060,0.0,101.0,2.0,2.0,2.0,1.0,694.0,0.0,0.0,0.0,1.0,2.0,0.28
2061,1.0,29.0,4.0,4.0,4.0,0.0,1800.0,0.0,1.0,0.0,1.0,1.0,5.5
2062,1.0,41.0,2.0,2.0,2.0,1.0,450.0,1.0,0.0,0.0,1.0,1.0,0.5
2063,1.0,29.0,3.0,5.0,4.0,2.0,1800.0,0.0,0.0,1.0,1.0,2.0,6.0
2064,0.0,91.0,3.0,3.0,2.0,0.0,1350.0,0.0,0.0,0.0,1.0,2.0,0.72
2065,0.0,72.0,3.0,3.0,1.0,3.0,1291.0,0.0,0.0,0.0,2.0,0.0,1.36
2066,0.0,85.0,3.0,3.0,3.0,0.0,1580.0,1.0,0.0,0.0,2.0,2.0,1.1
2067,0.0,72.0,4.0,4.0,2.0,3.0,1819.0,0.0,0.0,0.0,0.0,1.0,1.95
2068,0.0,92.0,3.0,4.0,3.0,3.0,1800.0,1.0,0.0,0.0,2.0,0.0,1.27
2069,0.0,91.0,2.0,2.0,3.0,3.0,1670.0,0.0,0.0,0.0,1.0,0.0,1.19
2070,0.0,38.0,4.0,4.0,3.0,1.0,2211.0,1.0,0.0,0.0,2.0,1.0,2.08
2071,0.0,5.0,2.0,2.0,3.0,3.0,1073.0,0.0,0.0,0.0,1.0,1.0,1.2
2072,1.0,103.0,1.0,1.0,0.0,3.0,33.0,0.0,0.0,0.0,1.0,1.0,0.07
2073,1.0,12.0,4.0,4.0,4.0,3.0,5400.0,1.0,0.0,0.0,2.0,2.0,5.7
2074,1.0,28.0,9.0,9.0,4.0,2.0,2844.0,0.0,0.0,0.0,2.0,2.0,9.5
2075,0.0,86.0,2.0,2.0,2.0,4.0,1194.0,0.0,0.0,0.0,1.0,1.0,0.96
2076,0.0,86.0,3.0,4.0,4.0,3.0,1558.0,1.0,0.0,0.0,2.0,0.0,2.35
2077,0.0,63.0,3.0,3.0,2.0,1.0,1721.0,0.0,0.0,0.0,0.0,2.0,2.2
